"","lemma","n","rank","sum"
"752","2008-2009",1,58066.5,752
"753","200m",1,58066.5,753
"754","2013 14 15 16",1,58066.5,754
"755","2014-2015",1,58066.5,755
"756","2016 30 2017 3000 4000",1,58066.5,756
"757","2022",1,58066.5,757
"758","2045",1,58066.5,758
"759","205",1,58066.5,759
"760","2050",1,58066.5,760
"761","2093",1,58066.5,761
"762","20an",1,58066.5,762
"763","20e",1,58066.5,763
"764","20K",1,58066.5,764
"765","20Parole",1,58066.5,765
"766","21:37e",1,58066.5,766
"767","210",1,58066.5,767
"768","212475",1,58066.5,768
"769","21H",1,58066.5,769
"770","22.22",1,58066.5,770
"771","22Ëme",1,58066.5,771
"772","22h",1,58066.5,772
"773","22h51",1,58066.5,773
"774","23/",1,58066.5,774
"775","230",1,58066.5,775
"776","23h",1,58066.5,776
"777","23H",1,58066.5,777
"778","23h30",1,58066.5,778
"779","242",1,58066.5,779
"780","243",1,58066.5,780
"781","24h",1,58066.5,781
"782","24k",1,58066.5,782
"783","25 000",1,58066.5,783
"784","250 000",1,58066.5,784
"785","253",1,58066.5,785
"786","2612",1,58066.5,786
"787","275",1,58066.5,787
"788","2bal",1,58066.5,788
"789","2Bal",1,58066.5,789
"790","2be2",1,58066.5,790
"791","2be3",1,58066.5,791
"792","2Be3",1,58066.5,792
"793","2Chainr",1,58066.5,793
"794","2Chainz",1,58066.5,794
"795","2e",1,58066.5,795
"796","2eme",1,58066.5,796
"797","2f",1,58066.5,797
"798","2F",1,58066.5,798
"799","2h",1,58066.5,799
"800","2K",1,58066.5,800
"801","2kill",1,58066.5,801
"802","2milleK",1,58066.5,802
"803","2Pac.",1,58066.5,803
